1	пенсионная	пенсионный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:30.158#00:44:30.615
2	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:30.615#00:44:31.072
3	в	в	ADP	_	_	_	_	_	@yuad1986m-words#00:44:31.380#00:44:31.615
4	две	два	NUM	_	Animacy=Inan|Case=Gen|Gender=Fem	_	_	_	@yuad1986m-words#00:44:31.615#00:44:31.850
5	тысячи	тысяча	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:31.850#00:44:32.085
6	одиннадцатом	одиннадцатый	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:44:32.085#00:44:32.320
7	году	год	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:44:32.320#00:44:32.555
8	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@yuad1986m-words#00:44:32.555#00:44:32.790
9	сказали	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:44:32.790#00:44:33.025
10	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:44:33.025#00:44:33.260
11	что	что	SCONJ	_	_	_	_	_	@yuad1986m-words#00:44:33.260#00:44:33.495
12	пенсионная	пенсионный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:33.495#00:44:33.730
13	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:33.730#00:44:33.965
14	неизбежна	неизбежный	ADJ	_	Degree=Pos|Gender=Fem|Number=Sing|Variant=Short	_	_	_	@yuad1986m-words#00:44:33.965#00:44:34.200
15	иначе	иначе	ADV	_	Degree=Pos	_	_	_	@yuad1986m-words#00:44:34.389#00:44:34.700
16	деньги	деньги	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@yuad1986m-words#00:44:34.700#00:44:35.011
17	кончатся	кончаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid	_	_	_	@yuad1986m-words#00:44:35.011#00:44:35.324
18	А	А	CCONJ	_	_	_	_	_	@yuad1986m-words#00:44:35.609#00:44:35.870
19	в	в	ADP	_	_	_	_	_	@yuad1986m-words#00:44:35.870#00:44:36.131
20	девятнадцатом	девятнадцатый	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:44:36.131#00:44:36.393
21	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@yuad1986m-words#00:44:36.680#00:44:36.940
22	сказали	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:44:36.940#00:44:37.200
23	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:44:37.200#00:44:37.460
24	что	что	SCONJ	_	_	_	_	_	@yuad1986m-words#00:44:37.460#00:44:37.720
25	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:44:37.720#00:44:37.980
26	пенсионная	пенсионный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:37.980#00:44:38.240
27	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:38.240#00:44:38.500
28	это	это	PART	_	_	_	_	_	@yuad1986m-words#00:44:38.500#00:44:38.760
29	по	по	ADP	_	_	_	_	_	@yuad1986m-words#00:44:38.760#00:44:39.020
30	сути	суть	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:39.020#00:44:39.280
31	не	не	PART	_	_	_	_	_	@yuad1986m-words#00:44:39.280#00:44:39.540
32	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:44:39.540#00:44:39.800
33	а	а	CCONJ	_	_	_	_	_	@yuad1986m-words#00:44:39.800#00:44:40.060
34	изъятие	изъятие	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yuad1986m-words#00:44:40.060#00:44:40.320
35	у	у	ADP	_	_	_	_	_	@yuad1986m-words#00:44:40.320#00:44:40.580
36	граждан	гражданин	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@yuad1986m-words#00:44:40.580#00:44:40.840
37	э	э	INTJ	_	_	_	_	_	@yuad1986m-words#00:44:40.840#00:44:41.100
38	денег	деньги	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@yuad1986m-words#00:44:41.100#00:44:41.364
39	что	что	PRON	_	Case=Nom	_	_	_	@yuad1986m-words#00:44:41.722#00:44:41.927
40	изменилось	измениться	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@yuad1986m-words#00:44:41.927#00:44:42.132
41	за	за	ADP	_	_	_	_	_	@yuad1986m-words#00:44:42.132#00:44:42.337
42	восемь	восемь	NUM	_	Case=Nom	_	_	_	@yuad1986m-words#00:44:42.337#00:44:42.542
43	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@yuad1986m-words#00:44:42.542#00:44:42.747
44	?	?	PUNCT	_	_	_	_	_	@yuad1986m-words#00:44:42.747#00:44:42.952
45	угу	угу	INTJ	_	_	_	_	_	@yuad1986m-words#00:44:48.422#00:44:48.462
46	угу	угу	INTJ	_	_	_	_	_	@yuad1986m-words#00:45:05.800#00:45:05.960
47	угу	угу	INTJ	_	_	_	_	_	@yuad1986m-words#00:45:33.170#00:45:33.305
48	почему	почему	ADV	_	Degree=Pos	_	_	_	@yuad1986m-words#00:45:54.552#00:45:54.760
49	Путин	Путин	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:45:54.760#00:45:54.968
50	на	на	ADP	_	_	_	_	_	@yuad1986m-words#00:45:54.968#00:45:55.176
51	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@yuad1986m-words#00:45:55.176#00:45:55.384
52	пошёл	пойти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:45:55.384#00:45:55.592
53	?	?	PUNCT	_	_	_	_	_	@yuad1986m-words#00:45:55.592#00:45:55.804
54	Но	но	CCONJ	_	_	_	_	_	@yuad1986m-words#00:45:56.124#00:45:56.407
55	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yuad1986m-words#00:45:56.407#00:45:56.690
56	же	же	PART	_	_	_	_	_	@yuad1986m-words#00:45:56.690#00:45:56.973
57	очевидно	очевидный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@yuad1986m-words#00:45:56.973#00:45:57.256
58	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:45:57.256#00:45:57.539
59	что	что	SCONJ	_	_	_	_	_	@yuad1986m-words#00:45:57.539#00:45:57.822
60	после	после	ADP	_	_	_	_	_	@yuad1986m-words#00:45:57.822#00:45:58.105
61	этого	это	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@yuad1986m-words#00:45:58.105#00:45:58.388
62	рейтинг	рейтинг	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:45:58.388#00:45:58.671
63	как	как	PART	_	_	_	_	_	@yuad1986m-words#00:45:58.671#00:45:58.954
64	бы	бы	PART	_	_	_	_	_	@yuad1986m-words#00:45:58.954#00:45:59.237
65	упадет	падать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:45:59.237#00:45:59.520
66	вот	вот	PART	_	_	_	_	_	@yuad1986m-words#00:45:59.520#00:45:59.803
67	как	как	SCONJ	_	_	_	_	_	@yuad1986m-words#00:45:59.803#00:46:00.086
68	раз	раз	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:46:00.086#00:46:00.369
69	у	у	ADP	_	_	_	_	_	@yuad1986m-words#00:46:00.369#00:46:00.652
70	его	он	PRON	_	Case=Gen|Gender=Masc|Number=Sing|Person=3	_	_	_	@yuad1986m-words#00:46:00.652#00:46:00.935
71	эээ	эээ	INTJ	_	_	_	_	_	@yuad1986m-words#00:46:00.935#00:46:01.218
72	хардкорных	хардкорный	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@yuad1986m-words#00:46:01.218#00:46:01.501
73	фанатов	фанат	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@yuad1986m-words#00:46:01.501#00:46:01.800
74	угу	угу	INTJ	_	_	_	_	_	@yuad1986m-words#00:46:31.078#00:46:31.149
75	у	у	ADP	_	_	_	_	_	@yuad1986m-words#00:47:08.449#00:47:08.692
76	вас	вы	PRON	_	Case=Gen|Number=Plur|Person=2	_	_	_	@yuad1986m-words#00:47:08.692#00:47:08.935
77	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:47:08.935#00:47:09.178
78	лекция	лекция	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:47:09.178#00:47:09.421
79	на	на	ADP	_	_	_	_	_	@yuad1986m-words#00:47:09.421#00:47:09.664
80	Дожде	Дождь	PROPN	_	Case=Loc	_	_	_	@yuad1986m-words#00:47:09.664#00:47:09.908
81	про	про	ADP	_	_	_	_	_	@yuad1986m-words#00:47:10.573#00:47:10.969
82	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:47:10.969#00:47:11.365
83	то	то	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@yuad1986m-words#00:47:11.365#00:47:11.761
84	что	что	SCONJ	_	_	_	_	_	@yuad1986m-words#00:47:11.761#00:47:12.157
85	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:47:12.157#00:47:12.553
86	красивые	красивый	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@yuad1986m-words#00:47:12.553#00:47:12.949
87	и	и	CCONJ	_	_	_	_	_	@yuad1986m-words#00:47:12.949#00:47:13.345
88	высокие	высокий	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@yuad1986m-words#00:47:13.345#00:47:13.741
89	получают	получать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:47:13.741#00:47:14.137
90	больше	больше	ADV	_	Degree=Cmp	_	_	_	@yuad1986m-words#00:47:14.137#00:47:14.533
91	чем	что	SCONJ	_	_	_	_	_	@yuad1986m-words#00:47:14.533#00:47:14.929
92	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:47:14.929#00:47:15.325
93	ээ	ээ	INTJ	_	_	_	_	_	@yuad1986m-words#00:47:15.325#00:47:15.721
94	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:47:15.721#00:47:16.117
95	другие	другой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@yuad1986m-words#00:47:16.117#00:47:16.520
96	но	но	CCONJ	_	_	_	_	_	@yuad1986m-words#00:47:17.316#00:47:17.789
97	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@yuad1986m-words#00:47:17.789#00:47:18.262
98	понимаете	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:47:18.262#00:47:18.735
99	что	что	SCONJ	_	_	_	_	_	@yuad1986m-words#00:47:18.735#00:47:19.208
100	евгеникой	евгеника	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:47:19.208#00:47:19.685
101	и	и	CCONJ	_	_	_	_	_	@yuad1986m-words#00:47:20.666#00:47:21.002
102	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:47:21.002#00:47:21.338
103	как	как	SCONJ	_	_	_	_	_	@yuad1986m-words#00:47:21.338#00:47:21.674
104	сле...	следовательно	ADV	_	Degree=Pos	_	_	_	@yuad1986m-words#00:47:21.674#00:47:22.010
105	следовательно	следовательно	ADV	_	Degree=Pos	_	_	_	@yuad1986m-words#00:47:22.010#00:47:22.346
106	фашизмом	фашизм	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:47:22.346#00:47:22.682
107	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:47:22.682#00:47:23.018
108	из	из	ADP	_	_	_	_	_	@yuad1986m-words#00:47:23.018#00:47:23.354
109	этой	этот	DET	_	Case=Gen|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:47:23.354#00:47:23.690
110	лекции	лекция	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:47:23.690#00:47:24.026
111	прямо-таки	прямо-таки	PART	_	_	_	_	_	@yuad1986m-words#00:47:24.026#00:47:24.362
112	разит	разить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:47:24.362#00:47:24.700
113	#смех#	#смех#	X	_	_	_	_	_	@yuad1986m-words#00:47:53.982#00:47:54.892
114	а	а	CCONJ	_	_	_	_	_	@yuad1986m-words#00:48:50.850#00:48:51.082
115	/	/	PUNCT	_	_	_	_	_	@yuad1986m-words#00:48:51.082#00:48:51.314
116	ну	ну	PART	_	_	_	_	_	@yuad1986m-words#00:48:51.314#00:48:51.546
117	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@yuad1986m-words#00:48:51.546#00:48:51.778
118	воспринимаете	воспринимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:48:51.778#00:48:52.010
119	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@yuad1986m-words#00:48:52.010#00:48:52.242
120	как	как	SCONJ	_	_	_	_	_	@yuad1986m-words#00:48:52.242#00:48:52.474
121	несправедливость	несправедливость	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:48:52.474#00:48:52.710
122	а	а	CCONJ	_	_	_	_	_	@yuad1986m-words#00:48:53.245#00:48:53.596
123	налог	налог	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:48:53.596#00:48:53.947
124	на	на	ADP	_	_	_	_	_	@yuad1986m-words#00:48:53.947#00:48:54.298
125	высоких	высокий	ADJ	_	Case=Acc|Degree=Pos|Number=Plur	_	_	_	@yuad1986m-words#00:48:54.298#00:48:54.649
126	это	это	PART	_	_	_	_	_	@yuad1986m-words#00:48:54.649#00:48:55.000
127	действительно	действительно	ADV	_	Degree=Pos	_	_	_	@yuad1986m-words#00:48:55.000#00:48:55.351
128	был	быть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@yuad1986m-words#00:48:55.351#00:48:55.702
129	такой	такой	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:48:55.702#00:48:56.060
130	а	а	CCONJ	_	_	_	_	_	@yuad1986m-words#00:49:02.560#00:49:02.792
131	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@yuad1986m-words#00:49:02.792#00:49:03.024
132	кем-то	кто-то	PRON	_	Case=Ins	_	_	_	@yuad1986m-words#00:49:03.024#00:49:03.256
133	высказывалась	высказываться	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@yuad1986m-words#00:49:03.256#00:49:03.488
134	?	?	PUNCT	_	_	_	_	_	@yuad1986m-words#00:49:03.488#00:49:03.720
135	а	а	CCONJ	_	_	_	_	_	@yuad1986m-words#00:49:05.387#00:49:05.454
136	да	да	PART	_	_	_	_	_	@yuad1986m-words#00:49:16.423#00:49:16.660
137	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@yuad1986m-words#00:49:28.000#00:49:28.440
138	против	против	ADP	_	_	_	_	_	@yuad1986m-words#00:49:28.440#00:49:28.880
139	такого	такой	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	@yuad1986m-words#00:49:28.880#00:49:29.320
140	со	с	ADP	_	_	_	_	_	@yuad1986m-words#00:49:29.455#00:49:29.921
141	всей	весь	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:49:29.921#00:49:30.387
142	нашей	наш	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:49:30.387#00:49:30.853
143	группой	группа	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@yuad1986m-words#00:49:30.853#00:49:31.320
144	да	да	PART	_	_	_	_	_	@smg1971m-words#00:44:31.228#00:44:31.313
145	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@smg1971m-words#00:44:43.393#00:44:43.646
146	по-прежнему	по-прежнему	ADV	_	Degree=Pos	_	_	_	@smg1971m-words#00:44:43.646#00:44:43.899
147	считаю	считать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@smg1971m-words#00:44:43.899#00:44:44.152
148	что	что	SCONJ	_	_	_	_	_	@smg1971m-words#00:44:44.152#00:44:44.405
149	пенсионная	пенсионный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:44.405#00:44:44.658
150	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:44.658#00:44:44.911
151	нужна	нужный	ADJ	_	Degree=Pos|Gender=Fem|Number=Sing|Variant=Short	_	_	_	@smg1971m-words#00:44:44.911#00:44:45.164
152	/	/	PUNCT	_	_	_	_	_	@smg1971m-words#00:44:45.164#00:44:45.417
153	но	но	CCONJ	_	_	_	_	_	@smg1971m-words#00:44:45.417#00:44:45.670
154	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@smg1971m-words#00:44:45.670#00:44:45.923
155	не	не	PART	_	_	_	_	_	@smg1971m-words#00:44:45.923#00:44:46.176
156	считаю	считать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@smg1971m-words#00:44:46.176#00:44:46.429
157	что	что	SCONJ	_	_	_	_	_	@smg1971m-words#00:44:46.429#00:44:46.682
158	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@smg1971m-words#00:44:46.682#00:44:46.935
159	что	что	PRON	_	Case=Nom	_	_	_	@smg1971m-words#00:44:46.935#00:44:47.188
160	происходит	происходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@smg1971m-words#00:44:47.188#00:44:47.441
161	/	/	PUNCT	_	_	_	_	_	@smg1971m-words#00:44:47.441#00:44:47.694
162	это	это	PART	_	_	_	_	_	@smg1971m-words#00:44:47.694#00:44:47.947
163	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:47.947#00:44:48.200
164	то	то	SCONJ	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@smg1971m-words#00:44:48.556#00:44:48.815
165	что	что	PRON	_	Case=Nom	_	_	_	@smg1971m-words#00:44:48.815#00:44:49.074
166	происходит	происходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@smg1971m-words#00:44:49.074#00:44:49.333
167	/	/	PUNCT	_	_	_	_	_	@smg1971m-words#00:44:49.333#00:44:49.592
168	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@smg1971m-words#00:44:49.592#00:44:49.851
169	изъятие	изъятие	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@smg1971m-words#00:44:49.851#00:44:50.110
170	денег	деньги	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@smg1971m-words#00:44:50.110#00:44:50.374
171	что	что	PRON	_	Case=Nom	_	_	_	@smg1971m-words#00:44:50.880#00:44:51.097
172	такое	такой	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@smg1971m-words#00:44:51.097#00:44:51.314
173	пенсионная	пенсионный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:51.314#00:44:51.531
174	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:51.531#00:44:51.748
175	?	?	PUNCT	_	_	_	_	_	@smg1971m-words#00:44:51.748#00:44:51.965
176	пенсионная	пенсионный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:52.128#00:44:52.361
177	реформа	реформа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:52.361#00:44:52.594
178	/	/	PUNCT	_	_	_	_	_	@smg1971m-words#00:44:52.594#00:44:52.827
179	это	это	PART	_	_	_	_	_	@smg1971m-words#00:44:52.827#00:44:53.060
180	когда	когда	SCONJ	_	_	_	_	_	@smg1971m-words#00:44:53.060#00:44:53.293
181	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@smg1971m-words#00:44:53.293#00:44:53.528
182	балансируете	балансировать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@smg1971m-words#00:44:53.921#00:44:54.465
183	пенсионную	пенсионный	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:54.465#00:44:55.009
184	систему	система	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:55.009#00:44:55.554
185	но	но	CCONJ	_	_	_	_	_	@smg1971m-words#00:44:56.133#00:44:56.490
186	даете	давать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@smg1971m-words#00:44:57.295#00:44:57.706
187	возможность	возможность	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@smg1971m-words#00:44:57.706#00:44:58.117
188	молодым	молодой	ADJ	_	Case=Dat|Degree=Pos|Number=Plur	_	_	_	@smg1971m-words#00:44:58.117#00:44:58.528
